Date,Close
2018/2/1,9224.52
2018/2/2,8873.03
2018/2/3,9199.96
2018/2/4,8184.81
2018/2/5,6939.99
2018/2/6,7652.14
2018/2/7,7599
2018/2/8,7784.02
2018/2/9,8683.92
2018/2/10,8533.98
2018/2/11,8063.88
2018/2/12,8903
2018/2/13,8539.9
2018/2/14,9449.99
2018/2/15,10000.09
2018/2/16,10159.98
2018/2/17,11039.55
2018/2/18,10383.43
2018/2/19,11153
2018/2/20,11200.99
2018/2/21,10437.6
2018/2/22,9811.04
2018/2/23,10131.04
2018/2/24,9694.51
2018/2/25,9590
2018/2/26,10324
2018/2/27,10569.04
2018/2/28,10326.76
2018/3/1,10920
2018/3/2,11039
2018/3/3,11464.48
2018/3/4,11515
2018/3/5,11454
2018/3/6,10716.48
2018/3/7,9910
2018/3/8,9271.64
2018/3/9,9227
2018/3/10,8770.22
2018/3/11,9533.57
2018/3/12,9131.34
2018/3/13,9150
2018/3/14,8170
2018/3/15,8240.98
2018/3/16,8260
2018/3/17,7824.8
2018/3/18,8189.99
2018/3/19,8600
2018/3/20,8909.98
2018/3/21,8885
2018/3/22,8722.9
2018/3/23,8898.03
2018/3/24,8546.86
2018/3/25,8470.15
2018/3/26,8134.23
2018/3/27,7795.51
2018/3/28,7949.3
2018/3/29,7090.14
2018/3/30,6840.23
2018/3/31,6923.91
2018/4/1,6813.01
2018/4/2,7056
2018/4/3,7405.21
2018/4/4,6796.1
2018/4/5,6770.76
2018/4/6,6601.39
2018/4/7,6895.8
2018/4/8,7018
2018/4/9,6782.72
2018/4/10,6843.9
2018/4/11,6953.79
2018/4/12,7923
2018/4/13,7877.41
2018/4/14,7999.01
2018/4/15,8355
2018/4/16,8064.92
2018/4/17,7885.02
2018/4/18,8173
2018/4/19,8278
2018/4/20,8856.98
2018/4/21,8915.31
2018/4/22,8787.02
2018/4/23,8934.01
2018/4/24,9619.99
2018/4/25,8869.99
2018/4/26,9266
2018/4/27,8915.35
2018/4/28,9348
2018/4/29,9419
2018/4/30,9246.01
2018/5/1,9071.48
2018/5/2,9247.84
2018/5/3,9750
2018/5/4,9713.99
2018/5/5,9864
2018/5/6,9659.01
2018/5/7,9365
2018/5/8,9187.56
2018/5/9,9310
2018/5/10,9002.2
2018/5/11,8400
2018/5/12,8465.94
2018/5/13,8679.71
2018/5/14,8663.34
2018/5/15,8462
2018/5/16,8330
2018/5/17,8041.46
2018/5/18,8239.81
2018/5/19,8233.49
2018/5/20,8526.98
2018/5/21,8381.24
2018/5/22,7977.11
2018/5/23,7501.95
2018/5/24,7575.01
2018/5/25,7457
2018/5/26,7333.96
2018/5/27,7338.99
2018/5/28,7099
2018/5/29,7461.29
2018/5/30,7375.96
2018/5/31,7485.01
2018/6/1,7521.01
2018/6/2,7640.03
2018/6/3,7714.26
2018/6/4,7487
2018/6/5,7625
2018/6/6,7658.84
2018/6/7,7691.08
2018/6/8,7603.44
2018/6/9,7491.73
2018/6/10,6764.99
2018/6/11,6872
2018/6/12,6530
2018/6/13,6292.78
2018/6/14,6635.98
2018/6/15,6388.9
2018/6/16,6483.98
2018/6/17,6449.61
2018/6/18,6712.46
2018/6/19,6741.21
2018/6/20,6761.51
2018/6/21,6718.84
