Date,Amount
2018/2/2,1096.633158
2018/2/4,181.2722419
2018/2/5,2440.601978
2018/3/27,181.2722419
2018/3/29,601.8450379
2018/3/30,1998.195895
2018/4/1,897.8472917
2018/4/4,270.4264074
2018/4/5,735.0951892
2018/4/6,492.7490411
2018/4/9,330.2995599
2018/4/13,221.4064162
2018/4/17,121.5104175
2018/5/23,121.5104175
2018/5/25,148.4131591
2018/5/26,221.4064162
2018/5/28,270.4264074
2018/6/10,181.2722419
2018/6/12,492.7490411
2018/6/13,492.7490411
2018/6/15,121.5104175
2018/6/17,221.4064162
2018/6/24,1096.633158
2018/6/26,330.2995599
2018/6/28,403.4287935
2018/8/6,148.4131591
2018/8/7,148.4131591
2018/8/8,221.4064162
2018/8/10,330.2995599
2018/8/13,330.2995599
2018/8/14,897.8472917
2018/8/18,181.2722419
2018/8/20,121.5104175
2018/8/22,330.2995599
2018/8/26,492.7490411
2018/8/29,492.7490411
2018/8/30,270.4264074
2018/9/3,492.7490411
2018/9/5,735.0951892
2018/9/6,1339.430764
2018/9/7,735.0951892
2018/9/8,601.8450379
2018/9/11,601.8450379
2018/9/14,221.4064162
2018/9/17,148.4131591
2018/10/11,492.7490411
2018/10/17,221.4064162
2018/10/18,121.5104175
2018/10/19,181.2722419
2018/10/23,181.2722419
2018/10/25,148.4131591
2018/11/16,221.4064162
2018/11/17,181.2722419
2018/11/20,330.2995599
2018/11/22,1339.430764
2018/11/24,1096.633158
2018/11/26,735.0951892
2018/11/30,492.7490411
2018/12/2,1096.633158
2018/12/3,735.0951892
2018/12/5,492.7490411
2018/12/6,1635.98443
2018/12/7,2440.601978
2018/12/10,492.7490411
2018/12/11,1096.633158
2018/12/13,1339.430764
2018/12/14,2980.957987
2018/12/15,2440.601978
2018/12/29,181.2722419
2018/12/31,121.5104175
2019/1/12,270.4264074
2019/1/13,330.2995599
2019/1/29,330.2995599
2019/1/31,735.0951892
2019/2/3,492.7490411
2019/2/6,1339.430764
2019/2/7,601.8450379
2019/7/24,403.4287935
2019/7/26,181.2722419
2019/7/29,492.7490411
2019/8/14,2440.601978
2019/8/17,403.4287935
2019/8/21,2440.601978
2019/8/22,8103.083928
2019/8/29,403.4287935
2019/9/25,1096.633158
2019/9/26,1998.195895
2019/10/24,403.4287935
2019/11/22,403.4287935
2019/11/24,330.2995599
2019/12/1,148.4131591
2019/12/4,181.2722419
2019/12/10,121.5104175
2019/12/11,403.4287935
2019/12/12,221.4064162
2019/12/16,181.2722419
2019/12/17,221.4064162
2019/12/19,330.2995599
2019/12/21,221.4064162
2019/12/24,148.4131591
2019/12/25,270.4264074
2020/3/9,735.0951892
2020/3/10,897.8472917
2020/3/12,1339.430764
2020/3/14,4447.066748
2020/3/16,3640.950307
2020/3/21,3640.950307
2020/3/22,2440.601978
2020/3/25,1635.98443
2020/3/27,1998.195895
2020/3/28,4447.066748
2020/3/29,1998.195895
2020/4/3,1339.430764
2020/4/5,1998.195895
2020/4/7,403.4287935
2020/4/9,270.4264074
2020/4/10,1096.633158
2020/4/13,2440.601978
2020/4/15,601.8450379
2020/4/17,1096.633158
2020/4/19,897.8472917
2020/4/20,1096.633158
2020/4/28,121.5104175
2021/5/16,403.4287935
2021/5/18,330.2995599
2021/5/19,221.4064162
2021/5/21,492.7490411
2021/5/23,1339.430764
2021/5/25,270.4264074
2021/5/28,330.2995599
2021/5/29,601.8450379
2021/6/1,403.4287935
2021/6/5,181.2722419
2021/6/7,1096.633158
2021/6/8,1635.98443
2021/6/10,330.2995599
2021/6/17,121.5104175
2021/6/18,148.4131591
2021/6/19,221.4064162
2021/6/21,221.4064162
2021/6/28,148.4131591
2021/7/8,403.4287935
2021/7/10,403.4287935
2021/7/12,148.4131591
2021/7/13,403.4287935
2021/7/15,403.4287935
2021/7/16,270.4264074
2021/7/19,181.2722419
2021/7/20,492.7490411
2021/9/27,121.5104175
2021/9/28,148.4131591
2021/12/4,148.4131591
2021/12/10,181.2722419
2021/12/17,221.4064162
2022/1/4,221.4064162
2022/1/5,181.2722419
2022/1/6,1096.633158
2022/1/7,601.8450379
2022/1/10,221.4064162
2022/1/13,330.2995599
2022/1/16,330.2995599
2022/1/17,270.4264074
2022/1/19,181.2722419
2022/1/20,181.2722419
2022/1/21,492.7490411
2022/1/22,1635.98443
2022/1/26,221.4064162
2022/2/21,148.4131591
2022/2/23,148.4131591
2022/2/26,121.5104175
2022/2/27,121.5104175
2022/3/6,270.4264074
2022/3/7,221.4064162
2022/3/11,270.4264074
2022/3/13,330.2995599
2022/3/15,330.2995599
2022/4/22,121.5104175
2022/4/23,181.2722419
2022/4/29,221.4064162
2022/4/30,403.4287935
2022/5/6,270.4264074
2022/5/7,221.4064162
2022/5/8,601.8450379
2022/5/9,2440.601978
2022/5/11,1998.195895
2022/5/12,1998.195895
2022/5/16,1339.430764
2022/5/18,1998.195895
2022/5/20,1635.98443
2022/5/23,2980.957987
2022/5/25,2440.601978
2022/5/26,1998.195895
2022/5/27,1998.195895
2022/6/1,735.0951892
2022/6/3,2980.957987
2022/6/7,1096.633158
2022/6/8,735.0951892
2022/6/9,2440.601978
2022/6/10,1635.98443
2022/6/11,1998.195895
2022/6/12,1339.430764
2022/6/13,2440.601978
2022/6/14,4447.066748
2022/6/16,5431.659591
2022/6/18,6634.244006
2022/6/20,3640.950307
2022/6/22,2440.601978
2022/6/26,1339.430764
2022/6/27,1998.195895
2022/6/28,2980.957987
2022/6/29,1635.98443
2022/6/30,2440.601978
2022/7/1,2440.601978
2022/7/2,1339.430764
2022/7/5,492.7490411
2022/7/8,403.4287935
2022/7/9,181.2722419
2022/7/10,181.2722419
2022/7/11,270.4264074
2022/7/12,897.8472917
2022/7/17,181.2722419
2022/7/26,121.5104175
2022/8/24,148.4131591
2022/9/2,148.4131591
2022/9/3,330.2995599
2022/9/5,221.4064162
2022/9/6,270.4264074
2022/9/20,221.4064162
2022/9/21,221.4064162
2022/9/23,403.4287935
2022/9/24,181.2722419
2022/9/25,181.2722419
2022/9/27,403.4287935
2022/9/30,330.2995599
2022/10/1,403.4287935
2022/10/2,181.2722419
2022/10/5,148.4131591
2022/10/6,121.5104175
2022/10/7,221.4064162
2022/10/8,181.2722419
2022/10/10,270.4264074
2022/10/11,181.2722419
2022/10/14,181.2722419
2022/10/15,181.2722419
2022/10/18,270.4264074
2022/10/19,221.4064162
2022/10/20,221.4064162
2022/10/24,270.4264074
2022/11/11,148.4131591
2022/11/12,330.2995599
2022/11/13,270.4264074
2022/11/16,221.4064162
2022/11/20,181.2722419
2022/11/21,330.2995599
2022/11/24,403.4287935
2022/11/25,403.4287935
2022/11/26,270.4264074
2022/11/27,121.5104175
2022/12/5,121.5104175
2022/12/9,121.5104175
2022/12/11,121.5104175
2022/12/18,121.5104175
2022/12/21,121.5104175
2022/12/31,148.4131591
2023/1/7,148.4131591
2024/9/6,121.5104175
2025/2/26,200.33681
2025/2/28,544.5719101
2025/3/8,109.9471725
2025/3/9,134.2897797
2025/3/10,544.5719101
2025/3/11,445.8577701
2025/3/14,244.6919323
2025/3/29,109.9471725
2025/4/3,164.0219073
2025/4/4,109.9471725
2025/4/7,403.4287935
2025/4/9,812.4058252
2025/4/11,221.4064162
